#Coverage	Number of genomic locations
0.0	7154.0
1.0	437.0
2.0	1375.0
3.0	714.0
4.0	1231.0
5.0	487.0
6.0	1115.0
7.0	196.0
8.0	1169.0
9.0	451.0
10.0	741.0
11.0	237.0
12.0	988.0
13.0	459.0
14.0	794.0
15.0	509.0
16.0	850.0
17.0	219.0
18.0	708.0
19.0	336.0
20.0	240.0
21.0	305.0
22.0	1095.0
23.0	285.0
24.0	1119.0
25.0	196.0
26.0	669.0
27.0	828.0
28.0	678.0
29.0	387.0
30.0	670.0
31.0	840.0
32.0	717.0
33.0	223.0
34.0	610.0
35.0	417.0
36.0	754.0
37.0	642.0
38.0	747.0
39.0	467.0
40.0	704.0
41.0	486.0
42.0	287.0
43.0	234.0
44.0	375.0
45.0	292.0
46.0	916.0
47.0	303.0
48.0	354.0
49.0	107.0
50.0	185.0
51.0	291.0
52.0	512.0
53.0	269.0
54.0	398.0
55.0	179.0
56.0	326.0
57.0	275.0
58.0	444.0
59.0	532.0
60.0	403.0
61.0	563.0
62.0	751.0
63.0	551.0
64.0	694.0
65.0	305.0
66.0	490.0
67.0	481.0
68.0	247.0
69.0	256.0
70.0	514.0
71.0	446.0
72.0	179.0
73.0	280.0
74.0	157.0
75.0	252.0
76.0	673.0
77.0	432.0
78.0	267.0
79.0	278.0
80.0	478.0
81.0	117.0
82.0	253.0
83.0	236.0
84.0	318.0
85.0	406.0
86.0	599.0
87.0	163.0
88.0	535.0
89.0	276.0
90.0	154.0
91.0	121.0
92.0	206.0
93.0	194.0
94.0	194.0
95.0	260.0
96.0	428.0
97.0	265.0
98.0	368.0
99.0	270.0
100.0	318.0
101.0	373.0
102.0	488.0
103.0	386.0
104.0	216.0
105.0	223.0
106.0	359.0
107.0	237.0
108.0	400.0
109.0	281.0
110.0	375.0
111.0	350.0
112.0	276.0
113.0	342.0
114.0	406.0
115.0	143.0
116.0	233.0
117.0	353.0
118.0	184.0
119.0	228.0
120.0	224.0
121.0	312.0
122.0	651.0
123.0	273.0
124.0	141.0
125.0	304.0
126.0	257.0
127.0	236.0
128.0	213.0
129.0	156.0
130.0	238.0
131.0	359.0
132.0	334.0
133.0	308.0
134.0	311.0
135.0	147.0
136.0	215.0
137.0	159.0
138.0	183.0
139.0	238.0
140.0	302.0
141.0	333.0
142.0	213.0
143.0	169.0
144.0	414.0
145.0	225.0
146.0	429.0
147.0	244.0
148.0	141.0
149.0	167.0
150.0	117.0
151.0	206.0
152.0	184.0
153.0	249.0
154.0	179.0
155.0	212.0
156.0	269.0
157.0	54.0
158.0	83.0
159.0	296.0
160.0	144.0
161.0	315.0
162.0	400.0
163.0	218.0
164.0	234.0
165.0	215.0
166.0	303.0
167.0	354.0
168.0	332.0
169.0	185.0
170.0	287.0
171.0	177.0
172.0	226.0
173.0	202.0
174.0	144.0
175.0	160.0
176.0	318.0
177.0	198.0
178.0	107.0
179.0	436.0
180.0	212.0
181.0	99.0
182.0	58.0
183.0	115.0
184.0	149.0
185.0	146.0
186.0	176.0
187.0	189.0
188.0	163.0
189.0	114.0
190.0	251.0
191.0	310.0
192.0	183.0
193.0	116.0
194.0	169.0
195.0	105.0
196.0	207.0
197.0	218.0
198.0	166.0
199.0	199.0
200.0	187.0
201.0	198.0
202.0	51.0
203.0	56.0
204.0	240.0
205.0	280.0
206.0	214.0
207.0	142.0
208.0	199.0
209.0	48.0
210.0	99.0
211.0	23.0
212.0	76.0
213.0	53.0
214.0	74.0
215.0	85.0
216.0	279.0
217.0	159.0
218.0	75.0
219.0	83.0
220.0	193.0
221.0	106.0
222.0	79.0
223.0	151.0
224.0	136.0
225.0	284.0
226.0	189.0
227.0	183.0
228.0	109.0
229.0	96.0
230.0	137.0
231.0	172.0
232.0	85.0
233.0	150.0
234.0	68.0
235.0	77.0
236.0	37.0
237.0	60.0
238.0	157.0
239.0	53.0
240.0	158.0
241.0	120.0
242.0	27.0
243.0	56.0
244.0	89.0
245.0	89.0
246.0	83.0
247.0	173.0
248.0	52.0
249.0	126.0
250.0	85.0
251.0	112.0
252.0	34.0
253.0	49.0
254.0	82.0
255.0	38.0
256.0	89.0
257.0	23.0
258.0	142.0
259.0	34.0
260.0	19.0
261.0	51.0
262.0	63.0
263.0	36.0
264.0	50.0
265.0	48.0
266.0	40.0
267.0	115.0
268.0	22.0
269.0	18.0
270.0	55.0
271.0	36.0
272.0	69.0
273.0	116.0
274.0	41.0
275.0	21.0
276.0	16.0
277.0	3.0
278.0	20.0
279.0	14.0
280.0	4.0
281.0	42.0
282.0	30.0
283.0	155.0
284.0	33.0
285.0	37.0
286.0	36.0
287.0	5.0
288.0	5.0
289.0	6.0
290.0	23.0
291.0	45.0
292.0	19.0
293.0	12.0
294.0	41.0
295.0	21.0
296.0	87.0
297.0	68.0
298.0	79.0
299.0	88.0
300.0	50.0
301.0	45.0
302.0	28.0
303.0	51.0
304.0	48.0
305.0	58.0
306.0	98.0
307.0	88.0
308.0	39.0
309.0	71.0
310.0	85.0
311.0	82.0
312.0	27.0
313.0	120.0
314.0	27.0
315.0	8.0
316.0	3.0
317.0	7.0
318.0	33.0
319.0	31.0
320.0	22.0
321.0	88.0
322.0	25.0
323.0	24.0
324.0	8.0
325.0	19.0
326.0	23.0
327.0	85.0
328.0	19.0
329.0	11.0
330.0	17.0
331.0	38.0
332.0	24.0
333.0	110.0
334.0	102.0
335.0	88.0
336.0	23.0
337.0	61.0
338.0	45.0
339.0	27.0
340.0	18.0
341.0	57.0
342.0	46.0
343.0	5.0
344.0	11.0
345.0	15.0
346.0	16.0
347.0	23.0
348.0	14.0
349.0	10.0
350.0	14.0
351.0	6.0
352.0	9.0
353.0	9.0
354.0	3.0
355.0	57.0
356.0	23.0
357.0	2.0
358.0	7.0
359.0	25.0
360.0	11.0
361.0	10.0
362.0	18.0
363.0	2.0
364.0	26.0
365.0	20.0
366.0	87.0
367.0	51.0
368.0	20.0
369.0	2.0
370.0	4.0
371.0	9.0
372.0	9.0
373.0	29.0
374.0	49.0
375.0	19.0
376.0	17.0
377.0	4.0
378.0	26.0
379.0	15.0
380.0	6.0
381.0	28.0
382.0	38.0
