#Duplication rate	Coverage
1.0	4530.0
2.0	1209.0
3.0	467.0
4.0	229.0
5.0	119.0
6.0	67.0
7.0	55.0
8.0	33.0
9.0	16.0
10.0	20.0
11.0	19.0
12.0	12.0
13.0	14.0
14.0	12.0
15.0	12.0
16.0	15.0
17.0	15.0
18.0	14.0
19.0	14.0
20.0	11.0
21.0	10.0
22.0	8.0
23.0	8.0
24.0	12.0
25.0	7.0
26.0	9.0
27.0	9.0
28.0	7.0
29.0	5.0
30.0	2.0
31.0	7.0
32.0	10.0
33.0	6.0
34.0	5.0
35.0	10.0
36.0	6.0
37.0	10.0
38.0	10.0
39.0	6.0
40.0	5.0
41.0	5.0
42.0	13.0
43.0	7.0
44.0	4.0
45.0	4.0
46.0	6.0
47.0	3.0
48.0	6.0
49.0	8.0
50.0	358.0
