#Insert size (bp)	insert size
135.0	1.0
187.0	1.0
193.0	1.0
201.0	1.0
202.0	1.0
204.0	1.0
208.0	1.0
210.0	2.0
212.0	2.0
214.0	1.0
218.0	4.0
220.0	1.0
221.0	1.0
222.0	2.0
223.0	13.0
224.0	11.0
225.0	2458.0
226.0	1035.0
227.0	1551.0
228.0	224.0
229.0	1329.0
230.0	586.0
231.0	979.0
232.0	716.0
233.0	427.0
234.0	112.0
235.0	699.0
236.0	268.0
237.0	493.0
238.0	379.0
239.0	987.0
240.0	232.0
241.0	602.0
242.0	336.0
243.0	778.0
244.0	120.0
245.0	596.0
246.0	85.0
247.0	970.0
248.0	135.0
249.0	1087.0
250.0	537.0
251.0	172.0
252.0	371.0
253.0	557.0
254.0	60.0
255.0	601.0
256.0	122.0
257.0	645.0
258.0	2.0
259.0	234.0
260.0	405.0
261.0	561.0
262.0	86.0
263.0	907.0
264.0	154.0
265.0	641.0
266.0	322.0
267.0	868.0
268.0	361.0
269.0	804.0
270.0	399.0
271.0	970.0
272.0	389.0
273.0	1238.0
274.0	616.0
275.0	1712.0
276.0	7.0
286.0	1.0
497.0	2.0
504.0	14.0
517.0	8.0
523.0	2.0
525.0	3.0
526.0	1.0
527.0	5.0
528.0	7.0
529.0	4.0
