"GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.classic","Fisher.elim"
"GO:0000122","negative regulation of transcription by ...",53,12,4.76,5,"0.0019","0.0019"
"GO:0007519","skeletal muscle tissue development",12,5,1.08,8,"0.0026","0.0026"
"GO:0030032","lamellipodium assembly",12,5,1.08,9,"0.0026","0.0026"
"GO:0070372","regulation of ERK1 and ERK2 cascade",19,6,1.71,18,"0.0048","0.0048"
"GO:0030855","epithelial cell differentiation",33,8,2.96,25,"0.0070","0.0070"
"GO:0009967","positive regulation of signal transducti...",94,16,8.44,27,"0.0077","0.0077"
"GO:0035967","cellular response to topologically incor...",15,5,1.35,29,"0.0078","0.0078"
"GO:0048468","cell development",163,24,14.63,32,"0.0080","0.0080"
"GO:0042752","regulation of circadian rhythm",10,4,0.9,34,"0.0085","0.0085"
"GO:0031328","positive regulation of cellular biosynth...",138,21,12.39,35,"0.0090","0.0090"
"GO:0080134","regulation of response to stress",104,17,9.33,37,"0.0091","0.0091"
"GO:0050793","regulation of developmental process",174,25,15.62,38,"0.0093","0.0093"
"GO:0031401","positive regulation of protein modificat...",80,14,7.18,41,"0.0098","0.0098"
"GO:0003012","muscle system process",42,9,3.77,43,"0.0101","0.0101"
"GO:0070373","negative regulation of ERK1 and ERK2 cas...",6,3,0.54,46,"0.0116","0.0116"
"GO:0090263","positive regulation of canonical Wnt sig...",6,3,0.54,47,"0.0116","0.0116"
"GO:1901606","alpha-amino acid catabolic process",6,3,0.54,48,"0.0116","0.0116"
"GO:0006897","endocytosis",58,11,5.21,49,"0.0118","0.0118"
"GO:0043502","regulation of muscle adaptation",11,4,0.99,53,"0.0125","0.0125"
"GO:0017038","protein import",23,6,2.06,55,"0.0132","0.0132"
