"GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.classic","Fisher.elim"
"GO:0051017","actin filament bundle assembly",20,8,1.8,1,"0.00018","0.00018"
"GO:0045446","endothelial cell differentiation",16,6,1.44,8,"0.00182","0.00182"
"GO:0001894","tissue homeostasis",35,9,3.15,11,"0.00283","0.00283"
"GO:0035295","tube development",126,21,11.34,13,"0.00315","0.00315"
"GO:0050772","positive regulation of axonogenesis",8,4,0.72,14,"0.00332","0.00332"
"GO:0060560","developmental growth involved in morphog...",24,7,2.16,18,"0.00391","0.00391"
"GO:0033143","regulation of intracellular steroid horm...",13,5,1.17,19,"0.00394","0.00394"
"GO:0001934","positive regulation of protein phosphory...",89,16,8.01,22,"0.00460","0.00460"
"GO:0022600","digestive system process",9,4,0.81,27,"0.00557","0.00557"
"GO:0031958","corticosteroid receptor signaling pathwa...",5,3,0.45,29,"0.00625","0.00625"
"GO:0043067","regulation of programmed cell death",214,30,19.26,32,"0.00677","0.00677"
"GO:0016477","cell migration",179,26,16.11,34,"0.00737","0.00737"
"GO:0007155","cell adhesion",128,20,11.52,36,"0.00838","0.00838"
"GO:0048639","positive regulation of developmental gro...",21,6,1.89,38,"0.00840","0.00840"
"GO:0000245","spliceosomal complex assembly",10,4,0.9,42,"0.00863","0.00863"
"GO:0009410","response to xenobiotic stimulus",34,8,3.06,43,"0.00863","0.00863"
"GO:0044087","regulation of cellular component biogene...",147,22,13.23,49,"0.00963","0.00963"
"GO:0007611","learning or memory",28,7,2.52,50,"0.00983","0.00983"
"GO:0070887","cellular response to chemical stimulus",346,46,31.13,9,"0.00213","0.01017"
"GO:0050890","cognition",34,10,3.06,4,"0.00052","0.01085"
