logFC	logCPM	PValue	FDR
Saci_1717	3.70387337466807	11.0360749319895	7.90501972821644e-24	7.84968459011893e-21
Saci_1078	3.36113268294571	12.0654248826893	1.5732462250892e-19	7.81116750756788e-17
Saci_2035	-2.89892577072479	9.37404054998876	4.4615420276606e-13	1.47677041115566e-10
Saci_1952	2.39302262010858	9.19171106910631	1.16556326800288e-10	2.43218343020717e-08
Saci_1953	2.15473544789581	11.0675158716506	1.22466436566323e-10	2.43218343020717e-08
Saci_1226	2.37857812604934	11.1335066555007	4.02667597709098e-10	6.66414874208558e-08
Saci_1109	2.00664703056338	8.65478283966258	2.49342597239729e-09	3.53710284370072e-07
Saci_2196	2.00250041741646	8.59509924729142	4.62600528968351e-09	5.51788816496404e-07
Saci_1819	2.23538111618631	9.76639607290584	5.00110709815472e-09	5.51788816496404e-07
Saci_2094	2.26688631451472	8.37127228035526	9.02392957867728e-09	8.96076207162654e-07
Saci_0292	1.94064557236935	8.57360204944058	1.29366249499478e-08	1.1678244159362e-06
Saci_2255	2.09402322460452	9.4606829062973	1.93772312541478e-08	1.60346588628073e-06
Saci_1814	1.82961968743813	8.83033148568177	2.20897399232309e-08	1.68731628798218e-06
Saci_1397	2.2422311107899	8.50532906782182	2.41230957966594e-08	1.70997448382406e-06
Saci_2056	1.90993554118362	8.29215435055222	2.58304302692457e-08	1.70997448382406e-06
Saci_0157	1.98897047769461	8.67202275095559	2.87930042564829e-08	1.78696582666797e-06
Saci_2240	2.1065405757218	9.80912902754004	3.27938184297384e-08	1.91554480592531e-06
Saci_2243	2.11216345317973	8.39848992634092	4.53523508179818e-08	2.50193802012533e-06
Saci_1783	-2.06059216234415	14.3255740401414	7.13481146677041e-08	3.72887778237001e-06
Saci_1843	1.99156873187582	9.33956678392084	1.28160204655783e-07	6.36315416115964e-06
Saci_0098	1.82062921872972	9.15369657868856	1.37589203576254e-07	6.50600376910575e-06
Saci_0385	1.72321419247807	12.3188347010052	1.70699544864023e-07	7.70475672954429e-06
Saci_1982	1.6781297828091	8.71522969359806	2.20151411718847e-07	9.50479790594846e-06
Saci_1857	2.43596470238444	8.68001553690435	2.32602572726238e-07	9.62393144654811e-06
Saci_2182	2.11595807412315	8.14480646320572	2.90342442828705e-07	1.15324018291562e-05
Saci_2076	2.13894519300115	9.77659003205639	4.14550382444648e-07	1.58326357602898e-05
Saci_0301	-1.60661092001869	9.88322760624267	5.95426497575908e-07	2.18984634108473e-05
