#Position (bp)	Coverage
3869618.0	0.0
1.1608853E7	0.0
1.9348088E7	0.0
2.7087323E7	0.0
3.4826558E7	0.0
4.2565793E7	164.94280078895463
5.0305028E7	0.0
5.8044263E7	0.0
6.5783498E7	0.0
7.3522733E7	0.0
8.1261968E7	0.0
8.9001203E7	0.0
9.6740438E7	0.0
1.04479673E8	0.0
1.12218908E8	0.0
1.19958143E8	0.0
1.27697378E8	0.0
1.35436613E8	0.0
1.43175848E8	0.0
1.50915083E8	0.0
1.58654318E8	0.0
1.66393553E8	0.0
1.74132788E8	0.0
1.81872023E8	0.0
1.89611258E8	0.0
1.97350493E8	0.0
2.05089728E8	0.0
2.12828963E8	0.0
2.20568198E8	0.0
2.28307433E8	0.0
2.36046668E8	0.0
2.43785903E8	0.0
2.48453071E8	0.0
2.523226885E8	0.0
2.59264373E8	0.0
2.67003608E8	0.0
2.74742843E8	0.0
2.82482078E8	0.0
2.90221313E8	0.0
2.97960548E8	0.0
3.05699783E8	0.0
3.13439018E8	0.0
3.21178253E8	0.0
3.28917488E8	0.0
3.36656723E8	0.0
3.44395958E8	0.0
3.52135193E8	0.0
3.59874428E8	0.0
3.67613663E8	0.0
3.75352898E8	0.0
3.83092133E8	0.0
3.90831368E8	0.0
3.98570603E8	0.0
4.06309838E8	0.0
4.14049073E8	0.0
4.21788308E8	0.0
4.29527543E8	0.0
4.37266778E8	0.0
4.45006013E8	127.42838145896657
4.52745248E8	0.0
4.60484483E8	0.0
4.68223718E8	0.0
4.75962953E8	0.0
4.83702188E8	0.0
4.900109E8	0.0
4.938805175E8	0.0
4.99180658E8	0.0
5.06919893E8	0.0
5.14659128E8	0.0
5.22398363E8	0.0
5.30137598E8	0.0
5.37876833E8	0.0
5.45616068E8	0.0
5.53355303E8	0.0
5.61094538E8	0.0
5.68833773E8	0.0
5.76573008E8	0.0
5.84312243E8	0.0
5.92051478E8	0.0
5.99790713E8	0.0
6.07529948E8	0.0
6.15269183E8	0.0
6.23008418E8	0.0
6.30747653E8	0.0
6.38486888E8	0.0
6.46226123E8	0.0
6.53965358E8	0.0
6.61704593E8	0.0
6.69443828E8	0.0
6.77183063E8	0.0
6.84922298E8	0.0
6.8963217E8	0.0
6.935017875E8	0.0
7.00400768E8	0.0
7.08140003E8	0.0
7.15879238E8	0.0
7.23618473E8	0.0
7.31357708E8	0.0
7.39096943E8	0.0
7.46836178E8	70.39716029723992
7.54575413E8	0.0
7.62314648E8	0.0
7.70053883E8	0.0
7.77793118E8	0.0
7.85532353E8	0.0
7.93271588E8	0.0
8.01010823E8	0.0
8.08750058E8	0.0
8.16489293E8	0.0
8.24228528E8	0.0
8.31967763E8	0.0
8.39706998E8	0.0
8.47446233E8	0.0
8.55185468E8	0.0
8.62924703E8	0.0
8.70663938E8	0.0
8.78080128E8	0.0
8.819497455E8	0.0
8.86142408E8	0.0
8.93881643E8	0.0
9.01620878E8	0.0
9.09360113E8	0.0
9.17099348E8	0.0
9.24838583E8	0.0
9.32577818E8	0.0
9.40317053E8	0.0
9.48056288E8	0.0
9.55795523E8	0.0
9.63534758E8	0.0
9.71273993E8	0.0
9.79013228E8	0.0
9.86752463E8	0.0
9.94491698E8	0.0
1.002230933E9	0.0
1.009970168E9	0.0
1.017709403E9	0.0
1.025448638E9	0.0
1.033187873E9	100.92247454972592
1.040927108E9	0.0
1.048666343E9	0.0
1.056405578E9	0.0
1.061408578E9	0.0
1.0652781955E9	0.0
1.071884048E9	0.0
1.079623283E9	0.0
1.087362518E9	0.0
1.095101753E9	0.0
1.102840988E9	0.0
1.110580223E9	0.0
1.118319458E9	0.0
1.126058693E9	0.0
1.133797928E9	0.0
1.141537163E9	0.0
1.149276398E9	0.0
1.157015633E9	0.0
1.164754868E9	0.0
1.172494103E9	0.0
1.180233338E9	0.0
1.187972573E9	0.0
1.195711808E9	0.0
1.203451043E9	0.0
1.211190278E9	0.0
1.218929513E9	0.0
1.226668748E9	0.0
1.2320976965E9	0.0
1.235967314E9	0.0
1.242147218E9	0.0
1.249886453E9	0.0
1.257625688E9	0.0
1.265364923E9	0.0
1.273104158E9	0.0
1.280843393E9	39.63982790411801
1.288582628E9	0.0
1.296321863E9	0.0
