chrom	length	bases	mean	min	max
chr1	248956422	16096	0.00	0	11
chr1_region	248956422	16096	0.00	0	11
chr2	242193529	32431	0.00	0	13
chr2_region	242193529	32431	0.00	0	13
chr3	198295559	744	0.00	0	1
chr3_region	198295559	744	0.00	0	1
chr4	190214555	31676	0.00	0	9
chr4_region	190214555	31676	0.00	0	9
chr5	181538259	16392	0.00	0	8
chr5_region	181538259	16392	0.00	0	8
chr6	170805979	460	0.00	0	1
chr6_region	170805979	460	0.00	0	1
chr7	159345973	34131	0.00	0	12
chr7_region	159345973	34131	0.00	0	12
chr8	145138636	3561	0.00	0	8
chr8_region	145138636	3561	0.00	0	8
chr9	138394717	46327	0.00	0	17
chr9_region	138394717	46327	0.00	0	17
chr10	133797422	7134	0.00	0	6
chr10_region	133797422	7134	0.00	0	6
chr11	135086622	88752	0.00	0	17
chr11_region	135086622	88752	0.00	0	17
chr12	133275309	4945	0.00	0	12
chr12_region	133275309	4945	0.00	0	12
chr13	114364328	94301	0.00	0	20
chr13_region	114364328	94301	0.00	0	20
chr14	107043718	316	0.00	0	1
chr14_region	107043718	316	0.00	0	1
chr15	101991189	227	0.00	0	1
chr15_region	101991189	227	0.00	0	1
chr16	90338345	649	0.00	0	3
chr16_region	90338345	649	0.00	0	3
chr17	83257441	48045	0.00	0	20
chr17_region	83257441	48045	0.00	0	20
chr18	80373285	75	0.00	0	1
chr18_region	80373285	75	0.00	0	1
chr19	58617616	38048	0.00	0	19
chr19_region	58617616	38048	0.00	0	19
chr20	64444167	46	0.00	0	1
chr20_region	64444167	46	0.00	0	1
chr21	46709983	96	0.00	0	1
chr21_region	46709983	96	0.00	0	1
chr22	50818468	223	0.00	0	1
chr22_region	50818468	223	0.00	0	1
chrX	156040895	10517	0.00	0	12
chrX_region	156040895	10517	0.00	0	12
chrY	57227415	39	0.00	0	1
chrY_region	57227415	39	0.00	0	1
chr5_GL339449v2_alt	1612928	79	0.00	0	1
chr5_GL339449v2_alt_region	1612928	79	0.00	0	1
chrUn_KN707678v1_decoy	2462	53	0.02	0	1
chrUn_KN707678v1_decoy_region	2462	53	0.02	0	1
total	3089885222	475363	0.00	0	20
total_region	3089885222	475363	0.00	0	20
