# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABL1	ENSG00000097007	ENST00000318560	protein_coding	1	2	1	1	0	0	0	0	0	0	3	1	0	1	0	1	0	1	0
ABL1	ENSG00000097007	ENST00000372348	protein_coding	1	2	1	1	0	0	0	0	0	0	3	1	0	1	0	1	0	1	0
AC005262.2	ENSG00000267688	ENST00000585980	antisense	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC005262.3	ENSG00000267139	ENST00000587701	antisense	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000431873	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ATP10D	ENSG00000145246	ENST00000273859	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ATP10D	ENSG00000145246	ENST00000504445	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ATP10D	ENSG00000145246	ENST00000507889	retained_intron	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ATP5A1P3	ENSG00000263232	ENST00000573189	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
BRAF	ENSG00000157764	ENST00000469930	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000479537	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000497784	nonsense_mediated_decay	0	0	0	4	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	3	2	13	0	1	1	0	0	0	13	2	0	0	0	1	0	1	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	3	5	4	0	1	1	0	0	0	4	5	0	0	0	1	0	1	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	4	7	7	0	1	1	0	0	0	7	7	0	0	0	1	0	2	0
BRCA1	ENSG00000012048	ENST00000412061	non_stop_decay	0	0	0	7	0	0	0	0	4	0	0	0	2	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000461221	nonsense_mediated_decay	0	2	0	26	9	1	1	0	0	0	7	0	10	0	0	1	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	8	0	0	0	0	1	0	1	0	0	0	0	0	0	0	6
