task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	91/78f53b	222674	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTP (S10-L1)	COMPLETED	0	2025-11-30 09:11:57.276	3.6s	2.7s	122.5%	1.2 GB	2.2 GB	23.8 MB	11.4 MB
2	55/3712ab	107270	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (wgs_calling_regions_noseconds.hg38)	CACHED	0	2025-11-30 08:20:36.976	509ms	99ms	104.7%	1.7 MB	4.6 MB	147.9 KB	12.1 KB
16	84/fb38bf	222685	NFCORE_SAREK:SAREK:FASTQC (S10-L1)	COMPLETED	0	2025-11-30 09:11:57.302	9.9s	9s	200.6%	498.2 MB	7.6 GB	23.4 MB	4.1 MB
1	08/653dfd	107474	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	CACHED	0	2025-11-30 08:20:45.045	668ms	0ms	118.5%	1.7 MB	4.3 MB	139.9 KB	9.2 KB
78	69/0277ce	108038	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_139453660-155760324)	CACHED	0	2025-11-30 08:20:45.958	658ms	86ms	66.0%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
71	71/b7d1c0	107712	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37235253-37240944)	CACHED	0	2025-11-30 08:20:45.832	568ms	113ms	57.6%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
74	f4/6b1f22	107759	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_39590436-39593013)	CACHED	0	2025-11-30 08:20:45.862	650ms	114ms	47.1%	1.8 MB	4.6 MB	137.1 KB	3.7 KB
70	5d/f5a557	107949	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_10001-1429358)	CACHED	0	2025-11-30 08:20:45.930	596ms	104ms	55.4%	1.7 MB	4.6 MB	137 KB	3.7 KB
76	ed/4dafdd	107738	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_36314720-64334167)	CACHED	0	2025-11-30 08:20:45.855	653ms	93ms	56.6%	1.7 MB	4.6 MB	138.5 KB	4.3 KB
81	2d/2db20a	107714	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_122026460-124977944)	CACHED	0	2025-11-30 08:20:45.840	589ms	90ms	62.1%	1.8 MB	4.6 MB	136.9 KB	3.7 KB
82	5e/6526f6	108172	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_47019913-54536574)	CACHED	0	2025-11-30 08:20:45.998	593ms	105ms	59.8%	1.7 MB	4.6 MB	137.6 KB	3.9 KB
69	1c/936dc4	107805	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_238904048-242183529)	CACHED	0	2025-11-30 08:20:45.878	570ms	85ms	60.4%	1.7 MB	4.6 MB	137 KB	3.9 KB
68	9a/dd77b7	107779	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_16146120-32867130)	CACHED	0	2025-11-30 08:20:45.870	555ms	97ms	60.1%	1.7 MB	4.6 MB	137 KB	3.7 KB
83	75/e28266	107842	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_37285838-49348394)	CACHED	0	2025-11-30 08:20:45.890	593ms	95ms	58.7%	1.8 MB	4.6 MB	137 KB	3.7 KB
80	98/af946b	108092	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_60001-448188)	CACHED	0	2025-11-30 08:20:45.976	648ms	82ms	66.0%	1.7 MB	4.6 MB	137.5 KB	3.8 KB
73	fc/e415b5	107723	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_58169654-60828234)	CACHED	0	2025-11-30 08:20:45.848	541ms	93ms	54.9%	1.7 MB	4.6 MB	137 KB	3.7 KB
79	cf/266ef0	108110	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	CACHED	0	2025-11-30 08:20:45.985	624ms	96ms	64.0%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
84	54/7025a6	109656	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_10001-207666)	CACHED	0	2025-11-30 08:20:46.398	413ms	47ms	109.8%	1.8 MB	4.6 MB	136.9 KB	3.5 KB
85	c1/6ca852	109964	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_51078349-54425074)	CACHED	0	2025-11-30 08:20:46.461	368ms	47ms	93.2%	1.7 MB	4.6 MB	136.9 KB	3.7 KB
88	d6/fb9e75	110018	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrY_9055175-9057608)	CACHED	0	2025-11-30 08:20:46.471	406ms	47ms	95.0%	1.7 MB	4.6 MB	138 KB	3.8 KB
77	68/405c54	108090	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_190173122-190204555)	CACHED	0	2025-11-30 08:20:45.947	652ms	76ms	58.3%	1.8 MB	4.6 MB	137.2 KB	3.9 KB
75	76/72a4da	107902	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_44033745-45877265)	CACHED	0	2025-11-30 08:20:45.912	635ms	101ms	42.3%	1.7 MB	4.6 MB	136.8 KB	3.6 KB
72	69/fa348a	107871	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr15_20729747-21193490)	CACHED	0	2025-11-30 08:20:45.900	609ms	82ms	57.7%	1.7 MB	4.6 MB	137.3 KB	3.8 KB
